signal,threshold,n_bets,total_pnl,mean_pnl,std_pnl,sharpe_per_bet,win_rate
pred_RF,0.0,8601,199.69300000000007,0.023217416579467513,0.4055525542222147,0.05724884811536898,0.2892686896872457
pred_RF,0.005,7588,198.05800000000005,0.026101476014760153,0.39825258183152756,0.065540004523566,0.26739588824459676
pred_RF,0.01,6502,191.97850000000003,0.02952606890187635,0.39638471832423694,0.07448841374788938,0.2548446631805598
pred_RF,0.015,5243,197.89900000000003,0.03774537478542819,0.40705979799591496,0.09272685480428354,0.2654968529467862
pred_RF,0.02,3893,162.9085,0.04184651939378371,0.4236402970031865,0.0987784204897509,0.28024659645517597
pred_RF,0.025,2865,137.8325,0.048109075043630024,0.4445210462981167,0.10822676551374312,0.3054101221640489
pred_RF,0.03,2214,109.7955,0.04959146341463415,0.4502445987488487,0.11014338329086054,0.3089430894308943
pred_EN,0.0,8601,227.08900000000003,0.026402627601441696,0.40535762672803294,0.065134157742531,0.2984536681781188
pred_EN,0.005,6706,171.21200000000002,0.025531166119892635,0.38118789622394,0.06697790347701282,0.24440799284223083
pred_EN,0.01,4051,98.02900000000002,0.02419871636632931,0.31541057879865886,0.07672132132821223,0.13527524068131325
pred_EN,0.015,1844,29.24600000000001,0.015860086767895885,0.20066791538237994,0.07903648541758117,0.045010845986984814
pred_EN,0.02,0,0.0,,,,
pred_EN,0.025,0,0.0,,,,
pred_EN,0.03,0,0.0,,,,
